date,Close,Open,High,Low,Volume,Score0,Distance0,Score1,Distance1,Score2,Distance2,Score3,Distance3,Score4,Distance4
Mon Dec 02 14:46:00 CET 2019,1291.65,1291.26,1291.65,1291.26,1454,0.826769,479000,0.720074,4488000,0.97311,4560000,0.580087,7381000,0.301296,9960000
Mon Dec 02 15:12:00 CET 2019,1289.225,1289.19,1289.38,1289.19,2138,0.0,882000,-0.651828,1339000,0.826769,2039000,0.720074,6048000,0.97311,6120000
Mon Dec 02 15:35:00 CET 2019,1290.0,1289.125,1290.0,1289.125,2645,0.0,2262000,-0.651828,2719000,0.826769,3419000,0.720074,7428000,0.97311,7500000
Mon Dec 02 14:27:00 CET 2019,1289.63,1289.48,1289.6927,1289.48,1010,0.720074,3348000,0.97311,3420000,0.580087,6241000,0.301296,8820000,-0.43028,9762000
Mon Dec 02 15:52:00 CET 2019,1290.38,1289.71,1290.38,1289.291,4128,0.513257,452000,-0.304175,660000,0.0,3282000,-0.651828,3739000,0.826769,4439000
Mon Dec 02 15:29:00 CET 2019,1289.27,1289.16,1289.39,1289.05,3168,0.0,1902000,-0.651828,2359000,0.826769,3059000,0.720074,7068000,0.97311,7140000
Mon Dec 02 14:55:00 CET 2019,1289.97,1290.05,1290.05,1289.69,1376,-0.651828,319000,0.826769,1019000,0.720074,5028000,0.97311,5100000,0.580087,7921000
Mon Dec 02 14:13:00 CET 2019,1287.57,1287.84,1287.89,1287.57,2167,0.720074,2508000,0.97311,2580000,0.580087,5401000,0.301296,7980000,-0.43028,8922000
Mon Dec 02 14:30:00 CET 2019,1290.0,1289.92,1290.005,1289.92,1713,0.720074,3528000,0.97311,3600000,0.580087,6421000,0.301296,9000000,-0.43028,9942000
Mon Dec 02 15:46:00 CET 2019,1292.94,1291.6,1293.0,1291.57,7817,0.513257,92000,-0.304175,300000,0.0,2922000,-0.651828,3379000,0.826769,4079000
Mon Dec 02 15:21:00 CET 2019,1290.82,1291.34,1291.34,1290.82,2490,0.0,1422000,-0.651828,1879000,0.826769,2579000,0.720074,6588000,0.97311,6660000
Mon Dec 02 15:04:00 CET 2019,1289.9,1289.9,1289.9,1289.9,497,0.0,402000,-0.651828,859000,0.826769,1559000,0.720074,5568000,0.97311,5640000
Mon Dec 02 14:18:00 CET 2019,1288.713,1288.7264,1288.7264,1288.63,1733,0.720074,2808000,0.97311,2880000,0.580087,5701000,0.301296,8280000,-0.43028,9222000
Mon Dec 02 14:41:00 CET 2019,1290.6948,1290.48,1290.6948,1290.19,3211,0.826769,179000,0.720074,4188000,0.97311,4260000,0.580087,7081000,0.301296,9660000
Mon Dec 02 15:15:00 CET 2019,1289.65,1289.74,1289.74,1289.65,1329,0.0,1062000,-0.651828,1519000,0.826769,2219000,0.720074,6228000,0.97311,6300000
Mon Dec 02 15:32:00 CET 2019,1288.4949,1288.44,1288.4949,1288.37,1053,0.0,2082000,-0.651828,2539000,0.826769,3239000,0.720074,7248000,0.97311,7320000
Mon Dec 02 14:58:00 CET 2019,1290.96,1290.96,1290.96,1290.96,296,0.0,42000,-0.651828,499000,0.826769,1199000,0.720074,5208000,0.97311,5280000
Mon Dec 02 15:28:00 CET 2019,1289.03,1288.97,1289.2,1288.9,2255,0.0,1842000,-0.651828,2299000,0.826769,2999000,0.720074,7008000,0.97311,7080000
Mon Dec 02 15:57:00 CET 2019,1289.41,1289.5156,1289.87,1289.27,5785,0.513257,752000,-0.304175,960000,0.0,3582000,-0.651828,4039000,0.826769,4739000
Mon Dec 02 15:40:00 CET 2019,1290.16,1290.03,1290.17,1289.96,1867,0.0,2562000,-0.651828,3019000,0.826769,3719000,0.720074,7728000,0.97311,7800000
Mon Dec 02 15:20:00 CET 2019,1291.17,1290.91,1291.17,1290.79,2320,0.0,1362000,-0.651828,1819000,0.826769,2519000,0.720074,6528000,0.97311,6600000
Mon Dec 02 15:05:00 CET 2019,1289.73,1289.93,1289.93,1289.73,943,0.0,462000,-0.651828,919000,0.826769,1619000,0.720074,5628000,0.97311,5700000
Mon Dec 02 15:43:00 CET 2019,1291.37,1291.02,1291.37,1290.98,2899,-0.304175,120000,0.0,2742000,-0.651828,3199000,0.826769,3899000,0.720074,7908000
Mon Dec 02 14:44:00 CET 2019,1290.53,1290.225,1290.53,1290.06,1200,0.826769,359000,0.720074,4368000,0.97311,4440000,0.580087,7261000,0.301296,9840000
Mon Dec 02 14:21:00 CET 2019,1288.67,1289.0,1289.13,1288.67,3763,0.720074,2988000,0.97311,3060000,0.580087,5881000,0.301296,8460000,-0.43028,9402000
Mon Dec 02 14:29:00 CET 2019,1289.64,1289.64,1289.64,1289.64,523,0.720074,3468000,0.97311,3540000,0.580087,6361000,0.301296,8940000,-0.43028,9882000
